symbol,ActivePremium,Alpha,AnnualizedAlpha,Beta,Beta-,Beta+,Correlation,Correlationp-value,InformationRatio,R-squared,TrackingError,TreynorRatio
ECN.TO,0.0565,0.0011,0.3282,0.3713,0.5677,0.1316,0.2836,0.0071,0.2742,0.0804,0.2058,1.1371
ELD.TO,-0.5776,-3e-4,-0.0797,0.043,-0.4014,-0.2369,0.0159,0.8827,-1.416,3e-4,0.4079,-3.1113
EFN.TO,-0.6014,-0.001,-0.2308,0.2877,0.486,0.0109,0.2336,0.0276,-3.002,0.0546,0.2003,-0.6048
EMA.TO,-0.284,6e-4,0.174,-0.0166,-0.0099,0.0504,-0.0277,0.7964,-1.6903,8e-4,0.168,-10.2577
EMP-A.TO,-0.501,-5e-4,-0.1076,0.1782,0.2771,0.2073,0.1797,0.092,-2.7543,0.0323,0.1819,-0.3068
ENB.TO,-0.2609,4e-4,0.0926,0.2354,0.4418,0.1025,0.2706,0.0103,-1.6132,0.0732,0.1617,0.8069
EDR.TO,-0.8783,-0.0029,-0.5154,0.7229,0.743,0.5151,0.2132,0.0448,-1.8632,0.0455,0.4714,-0.5807
ERF.TO,1.2869,0.0035,1.4349,0.6061,0.8974,1.7051,0.1793,0.0927,2.7091,0.0322,0.475,3.1262
ENGH.TO,-0.5159,-8e-4,-0.1741,0.355,0.4752,0.0555,0.2873,0.0063,-2.6619,0.0825,0.1938,-0.2487
EQX.TO,-0.1362,0.0011,0.3265,0.2061,0.1205,-0.3122,0.0685,0.5236,-0.3091,0.0047,0.4405,1.6517
EQB.TO,0.0822,8e-4,0.2289,0.6658,1.438,0.5597,0.3614,5e-4,0.3304,0.1306,0.2488,0.8045
ERO.TO,-0.7797,-0.0023,-0.439,0.6845,0.4318,0.9312,0.2334,0.0277,-1.9163,0.0545,0.4068,-0.4576
EIF.TO,-0.1633,6e-4,0.1596,0.3,0.3734,0.5199,0.2679,0.0111,-0.8941,0.0718,0.1827,1.1642
FFH.TO,-0.623,-0.0013,-0.2708,0.3827,0.5198,0.1408,0.2477,0.0193,-2.6521,0.0614,0.2349,-0.2029
FTT.TO,0.148,0.0012,0.3528,0.5032,0.3207,0.6535,0.3101,0.0031,0.6396,0.0962,0.2313,1.1457
FCR-UN.TO,-0.2343,2e-4,0.0546,0.4086,0.6794,0.4133,0.3261,0.0018,-1.2481,0.1064,0.1877,0.612
FR.TO,-0.7783,-0.0024,-0.4503,0.7058,0.9297,0.4542,0.2622,0.013,-2.0972,0.0688,0.3711,-0.4674
FM.TO,-0.667,-0.0024,-0.4569,1.3038,1.1575,2.0281,0.3583,6e-4,-1.3789,0.1284,0.4837,-0.1395
FSV.TO,-0.021,6e-4,0.1723,0.5691,0.4588,0.6864,0.3998,1e-4,-0.1064,0.1598,0.1977,0.6905
FTS.TO,-0.3557,4e-4,0.1022,-0.0141,0.152,-0.2233,-0.0198,0.854,-2.0192,4e-4,0.1762,-7.6872
FVI.TO,-0.6311,-0.001,-0.2157,0.3685,0.8988,-0.1808,0.1162,0.2782,-1.3814,0.0135,0.4568,-0.5507
FNV.TO,-0.4814,-3e-4,-0.0766,0.1812,0.1477,-0.3337,0.116,0.2791,-1.9299,0.0135,0.2494,-0.1676
WN.TO,0.0295,0.0014,0.4208,0.14,0.5165,0.1508,0.114,0.2876,0.1392,0.013,0.2123,3.4665
GFL.TO,0.2146,0.0015,0.4578,0.427,0.6345,0.1718,0.2423,0.0221,0.8375,0.0587,0.2563,1.5645
GEI.TO,-0.4437,-5e-4,-0.1242,0.433,0.7091,0.8398,0.255,0.0159,-1.8004,0.065,0.2464,0.0658
GIL.TO,-0.0601,3e-4,0.0722,0.7729,0.9012,1.4942,0.4068,1e-4,-0.2408,0.1655,0.2497,0.4782
GSY.TO,0.1062,9e-4,0.2472,0.7399,1.7656,0.1622,0.3015,0.0041,0.3182,0.0909,0.3339,0.8252
